x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6
3705,0.000131099,0.00012016296861742435,1.8955284191420637e-07,5.403541633602803e-33,2.9063386810616454e-08,2.585737265354611e-23,2.4340974336711485e-05,9.598121934052914e-05
3700,0.000134408,0.00012490540178606625,1.9186269816461192e-07,5.469282457610697e-33,2.9448425866576863e-08,2.6207875335776305e-23,2.5489484598762064e-05,9.957244735181407e-05
3695,0.000133488,0.0001298933642818541,1.9421502904113636e-07,5.536229173665931e-33,2.984116214788188e-08,2.656555249650229e-23,2.6693990769591396e-05,0.00010335315860961478
3690,0.000132508,0.00013514109022036533,1.9661088221951296e-07,5.604411426875682e-33,3.024180204728072e-08,2.6930601263565804e-23,2.795652469726607e-05,0.00010733555412737356
3685,0.00016816,0.00014066367609366255,1.9905133787399883e-07,5.6738597780336946e-33,3.065055891687876e-08,2.730322558120544e-23,2.92791360817633e-05,0.00011153267940364944
3680,0.000140209,0.0001464771258759471,2.015375098944757e-07,5.744605737736999e-33,3.106765335143417e-08,2.768363649483172e-23,3.066388873232714e-05,0.00011595847326891511
3675,8.13189e-05,0.0001525983949060665,2.0407054715705642e-07,5.816681801993303e-33,3.149331348519047e-08,2.8072052449777804e-23,3.211285662049519e-05,0.00012062781571347015
3670,0.000105901,0.00015904543118639246,2.0665163485090173e-07,5.8901214893938956e-33,3.192777530298881e-08,2.8468699604815295e-23,3.362811974033196e-05,0.0001255565733244477
3665,0.000144106,0.0001658372123162785,2.0928199586410663e-07,5.9649593799311294e-33,3.2371282966449515e-08,2.8873812161274733e-23,3.521175978982734e-05,0.0001307616405361617
3660,0.00013539,0.0001729937757532406,2.119628922316807e-07,6.041231155544079e-33,3.282408915606272e-08,2.928763270866496e-23,3.686585568999544e-05,0.0001362609743703985
3655,0.000125588,0.00018053623944457573,2.1469562664882202e-07,6.1189736424807554e-33,3.328645543007999e-08,2.971041258774299e-23,3.859247896093836e-05,0.00014207361969009955
3650,8.74155e-05,0.00018848680907158227,2.1748154405287137e-07,6.198224855570395e-33,3.375865260115596e-08,3.014241227204874e-23,4.0393688977029025e-05,0.00014821972118644032
3645,0.00019301,0.00019686876717011547,2.2032203327753058e-07,6.27902404450479e-33,3.4240961131749754e-08,3.0583901768985356e-23,4.227152812641736e-05,0.00015472051733782992
3640,0.00021082,0.00020570643820478132,2.2321852878314328e-07,6.361411742233365e-33,3.473367154936049e-08,3.1035161041598e-23,4.422801690327992e-05,0.00016159831038971
3635,0.000212796,0.00021502512224847519,2.2617251246705984e-07,6.445429815582981e-33,3.52370848827414e-08,3.14964804522805e-23,4.6265148964621995e-05,0.00016887640497504448
3630,0.000172808,0.00022485098822436117,2.291855155583508e-07,6.531121518219938e-33,3.5751513120311536e-08,3.1968161229722426e-23,4.838488618700508e-05,0.0001765790062972185
3625,0.000242463,0.0002352109156791669,2.3225912060138958e-07,6.618531546078738e-33,3.627727969206421e-08,3.2450515960498175e-23,5.0589153762325876e-05,0.00018473106680508863
3620,0.000249953,0.00024613227176161,2.3539496353309903e-07,6.707706095389578e-33,3.681471997635776e-08,3.2943869106794937e-23,5.2879835375718944e-05,0.00019335806799092268
