x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5
3620,0.000249953,0.0002399577225751784,8.236713193485835e-08,7.772103734520262e-09,2.844517236375556e-07,3.96144022355975e-05,0.00019306342109145765
3615,0.000251953,0.0002529240754055394,8.348724619415361e-08,7.877804299140118e-09,2.887221336284167e-07,4.1166776953325744e-05,0.00020447190297927562
3610,0.000299792,0.0002666093030503077,8.463036515300475e-08,7.985675875090705e-09,2.930894303430555e-07,4.280358472054929e-05,0.0002165147045695709
3605,0.000285106,0.0002810222016760692,8.579712309623524e-08,8.095778325664189e-09,2.9755656678724323e-07,4.4529054937584857e-05,0.00022919638898145887
3600,0.000324757,0.0002961664476916694,8.698817632055797e-08,8.208173591765293e-09,3.021266093282137e-07,4.634753838669804e-05,0.00024251627805691446
3595,0.000331498,0.00031203975348232505,8.820420405763014e-08,8.322925779040958e-09,3.068027429568191e-07,4.826350323704808e-05,0.00025646761208366714
3590,0.000332479,0.0003286329227164813,8.944590944258413e-08,8.440101249302898e-09,3.115882768368654e-07,5.028153057522879e-05,0.00027103660956490745
3585,0.000395148,0.00034592879365953166,9.071402053061297e-08,8.559768716486498e-09,3.164866501596744e-07,5.240630950474069e-05,0.00028620141542656785
3580,0.000363609,0.00036390106168376657,9.200929136435433e-08,8.681999347405133e-09,3.2150143832321193e-07,5.464263186967709e-05,0.00030193092879623817
3575,0.000407057,0.00038251297795801107,9.333250309499561e-08,8.806866867575749e-09,3.2663635945650676e-07,5.699538667073462e-05,0.00031818350726904105
3570,0.000409678,0.0004017159312604397,9.468446516021158e-08,8.934447672409542e-09,3.3189528131158973e-07,5.946955425532398e-05,0.0003349055545221552
3565,0.000428881,0.00042144793519167625,9.60660165222517e-08,9.064820944080827e-09,3.372822285467995e-07,6.207020037800533e-05,0.00035203001345884144
3560,0.00047954,0.0004416320648871545,9.747802696971304e-08,9.198068774407936e-09,3.4280139042706383e-07,6.48024702426288e-05,0.00036947480886953814
3555,0.000472772,0.00046217491636618355,9.892139848676983e-08,9.334276294102202e-09,3.48457128968657e-07,6.767158265332822e-05,0.00038714131262028944
3550,0.000451526,0.000482965197815133,1.0039706669388491e-07,9.473531808764995e-09,3.542539875580008e-07,7.068282441777622e-05,0.0004049129405224798
3545,0.000479824,0.0005038726038865911,1.0190600236429951e-07,9.615926942038468e-09,3.6019670007629867e-07,7.384154516271044e-05,0.0004226540318056817
3540,0.000559384,0.0005247471679421554,1.034492130208909e-07,9.761556786343317e-09,3.6629020056421756e-07,7.715315273850146e-05,0.0004402092059444662
3535,0.000565251,0.0005454193268369568,1.0502774461830277e-07,9.910520061666618e-09,3.72539633463453e-07,8.062310940622811e-05,0.00045740343124376894
3530,0.000541491,0.0005657009591319458,1.0664268331559215e-07,1.0062919282894801e-08,3.789503644748683e-07,8.425692901708023e-05,0.0004740430658589759
3525,0.000628955,0.0005853876587244378,1.0829515734500263e-07,1.0218860936221418e-08,3.85527992075991e-07,8.806017540958835e-05,0.0004899181330156759
3520,0.000489166,0.0006042624688676001,1.0998633898286693e-07,1.0378455665196462e-08,3.922783597440251e-07,9.203846226477225e-05,0.0005048060551596194
