x,y,y_predicted,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7,peak_8
3525,0.000628955,0.0006202280934040325,7.771543254973843e-10,3.230889661824846e-07,6.347683514704413e-07,6.812323813331162e-07,2.7592216866321184e-07,5.245932220392329e-05,0.00018593347389809462,7.062678542482607e-05
3520,0.000489166,0.0006348612245460556,7.888020827612544e-10,3.281414771347315e-07,6.449167281641813e-07,6.930224637443162e-07,2.8090990566233087e-07,5.410670507003731e-05,0.00019310881130590404,6.732021754685492e-05
3515,0.000627191,0.0006484235370527533,8.007136345505276e-10,3.333134368895468e-07,6.553103582918271e-07,7.051212755012107e-07,2.8603410210103767e-07,5.582956983609021e-05,0.00020044244460334083,6.410076185506234e-05
3510,0.000596978,0.0006609002682546923,8.128970059251143e-10,3.3860864051810356e-07,6.659572060680825e-07,7.175396898286787e-07,2.9129978104529553e-07,5.763236657440655e-05,0.00020790561989335673,6.098634162564218e-05
3505,0.000631963,0.00067227133948117,8.253605294020489e-10,3.440310350133559e-07,6.768655615266502e-07,7.302890628574269e-07,2.967121988026742e-07,5.9519857457593315e-05,0.00021546327898077866,5.798982340707715e-05
3500,0.000613807,0.0006825099047988118,8.381128591974443e-10,3.4958472664670587e-07,6.880440566419735e-07,7.433812595893813e-07,3.022768580389757e-07,6.149714109978062e-05,0.00022307361153663493,5.51197683241201e-05
3495,0.000655944,0.0006915818837387082,8.511629862439668e-10,3.5527398874364897e-07,6.995016823890562e-07,7.568286815065262e-07,3.0799952176346226e-07,6.356967882939844e-05,0.00023068774189377198,5.238116051530357e-05
3490,0.000714465,0.0006994464459634855,8.645202540324653e-10,3.6110326990590007e-07,7.112478068042497e-07,7.706442959431463e-07,3.138862282490372e-07,6.574332301811713e-05,0.00023824960461424894,4.9776080914363045e-05
3485,0.000634263,0.000706057397620321,8.781943753298398e-10,3.6707720270953456e-07,7.232921941146711e-07,7.848416673513661e-07,3.199433069594952e-07,6.802434758820342e-05,0.0002456960668962266,4.730430874778197e-05
3480,0.000700451,0.0007113654007384535,8.921954498289778e-10,3.732006129109058e-07,7.356450250090942e-07,7.994349906007521e-07,3.261773955622724e-07,7.041948081424178e-05,0.0002529573557443169,4.496384358091758e-05
3475,0.000708662,0.000715320933625728,9.065339827906062e-10,3.7947852919449805e-07,7.483169181288094e-07,8.144391264646133e-07,3.325954581120612e-07,7.293594052361252e-05,0.00025995784200932094,4.275134794623989e-05
3470,0.000740641,0.0007178778692894284,9.212209047412795e-10,3.8591619349948433e-07,7.613189528630533e-07,8.298696394586613e-07,3.392048044982927e-07,7.558147178162219e-05,0.0002666172204752856,4.066251515275723e-05
3465,0.00070289,0.0007189975105949435,9.3626759229642e-10,3.92519071964589e-07,7.746626935402651e-07,8.457428382119255e-07,3.460131112578663e-07,7.836438711959193e-05,0.00027285210421234955,3.869236944802602e-05
3460,0.000698228,0.0007186528780936685,9.51685890182451e-10,3.992928665339271e-07,7.883602151136846e-07,8.620758185654546e-07,3.5302844386376073e-07,8.129360932481491e-05,0.00027857802241907194,3.6835506856753965e-05
3455,0.000747213,0.0007168330047004942,9.674881345375608e-10,4.062435272698339e-07,8.024241304476717e-07,8.78886509611482e-07,3.6025928061033897e-07,8.437871675666481e-05,0.00028371177524352575,3.508628522152149e-05
3450,0.000783153,0.0007135469581733102,9.836871775766524e-10,4.1337726542234317e-07,8.168676193197455e-07,8.961937229045737e-07,3.6771453822740103e-07,8.762999107896028e-05,0.00028817405943962757,3.3438971580318905e-05
3445,0.000690792,0.0007088272960213689,1.000296413712487e-09,4.207005673089119e-07,8.317044592626869e-07,9.140172050969809e-07,3.754035993674579e-07,9.10584671995766e-05,0.0002918922395511845,3.188785429255904e-05
3440,0.000764856,0.0007027326657405277,1.017329807232112e-09,4.2822020906232095e-07,8.469490583813091e-07,9.323776942732074e-07,3.833363421244086e-07,9.467598507750235e-05,0.0002948031061229911,3.042732644922221e-05
3435,0.000708057,0.0006953493013201731,1.0348019216352795e-09,4.3594327230936145e-07,8.626164902896397e-07,9.512969802839057e-07,3.915231717570068e-07,9.849524288670905e-05,0.0002968554410600687,2.905194619080866e-05
3430,0.000663249,0.0006867912357517309,1.0527279507498768e-09,4.4387716084806193e-07,8.78722531326496e-07,9.70797969406879e-07,3.999750548073136e-07,0.00010252985080499682,0.00029801220577179766,2.7756478680240892e-05
3425,0.000624656,0.0006771991444575815,1.071123751748437e-09,4.520296183967926e-07,8.952837002207796e-07,9.909047536935022e-07,4.087035558229995e-07,0.00010679438441169572,0.00029825218326042896,2.6535923676303432e-05
3420,0.000661786,0.000666737846499082,1.090005880199608e-09,4.604087474947116e-07,9.123173003924428e-07,1.0116426853925971e-06,4.1772087691306235e-07,0.0001113044363152321,0.00029757094100929125,2.5385531944812226e-05
3415,0.000651775,0.0006555926053936678,1.1093916272991472e-09,4.690230296397002e-07,9.298414650911076e-07,1.0330384568810954e-06,4.2703990038955977e-07,0.00011607666417134973,0.0002959810341719327,2.4300813134024595e-05
3410,0.000605935,0.0006439644739633354,1.1292990594367119e-09,4.77881346757258e-07,9.478752055918898e-07,1.0551201865720696e-06,4.3667423477355984e-07,0.00012112883267269339,0.00029351143185327405,2.3277537224248876e-05
3405,0.00065886,0.0006320650037268604,1.1497470602673665e-09,4.869930041018456e-07,9.664384626872664e-07,1.0779175113164966e-06,4.466382644720432e-07,0.00012647984636390716,0.00029020621487544344,2.2311731231168834e-05
3400,0.000597023,0.0006201106789178285,1.1707553754706432e-09,4.963677547009463e-07,9.85552161735016e-07,1.10146168586575e-06,4.569472034643216e-07,0.00013214976923236102,0.0002861226525539082,2.1399672488039782e-05
